"d","k0","k1","seed","weight_shared","balanced","sigma2_Mu","model","b","mu_Mu","alpha_Lambda","beta_Lambda","nlabel"
200,5,15,7,0.2,"balanced",50,"SPM",0.0025,0,2,4,5
200,5,15,7,0.2,"balanced",50,"BPM",0.0025,0,2,4,5
200,5,15,7,0.2,"unbalanced",1,"SPM",0.0025,0,2,4,5
200,5,15,7,0.2,"unbalanced",1,"BPM",0.0025,0,2,4,5
200,5,15,7,0.2,"unbalanced",10,"SPM",0.0025,0,2,4,5
200,5,15,7,0.2,"unbalanced",10,"BPM",0.0025,0,2,4,5
200,5,15,7,0.2,"unbalanced",50,"SPM",0.0025,0,2,4,5
200,5,15,7,0.2,"unbalanced",50,"BPM",0.0025,0,2,4,5
200,6,10,8,0.5,"balanced",1,"SPM",0.003125,0,2,4,5
200,6,10,8,0.5,"balanced",1,"BPM",0.003125,0,2,4,5
200,6,10,8,0.5,"balanced",10,"SPM",0.003125,0,2,4,5
200,6,10,8,0.5,"balanced",10,"BPM",0.003125,0,2,4,5
200,6,10,8,0.5,"balanced",50,"SPM",0.003125,0,2,4,5
200,6,10,8,0.5,"balanced",50,"BPM",0.003125,0,2,4,5
200,6,10,8,0.5,"unbalanced",1,"SPM",0.003125,0,2,4,5
200,6,10,8,0.5,"unbalanced",1,"BPM",0.003125,0,2,4,5
200,6,10,8,0.5,"unbalanced",10,"SPM",0.003125,0,2,4,5
200,6,10,8,0.5,"unbalanced",10,"BPM",0.003125,0,2,4,5
200,6,10,8,0.5,"unbalanced",50,"SPM",0.003125,0,2,4,5
200,6,10,8,0.5,"unbalanced",50,"BPM",0.003125,0,2,4,5
200,6,10,8,0.2,"balanced",1,"SPM",0.003125,0,2,4,5
200,6,10,8,0.2,"balanced",1,"BPM",0.003125,0,2,4,5
200,6,10,8,0.2,"balanced",10,"SPM",0.003125,0,2,4,5
200,6,10,8,0.2,"balanced",10,"BPM",0.003125,0,2,4,5
200,6,10,8,0.2,"balanced",50,"SPM",0.003125,0,2,4,5
200,6,10,8,0.2,"balanced",50,"BPM",0.003125,0,2,4,5
200,6,10,8,0.2,"unbalanced",1,"SPM",0.003125,0,2,4,5
200,6,10,8,0.2,"unbalanced",1,"BPM",0.003125,0,2,4,5
200,6,10,8,0.2,"unbalanced",10,"SPM",0.003125,0,2,4,5
200,6,10,8,0.2,"unbalanced",10,"BPM",0.003125,0,2,4,5
200,6,10,8,0.2,"unbalanced",50,"SPM",0.003125,0,2,4,5
200,6,10,8,0.2,"unbalanced",50,"BPM",0.003125,0,2,4,5
200,7,5,9,0.5,"balanced",1,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"balanced",1,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"balanced",10,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"balanced",10,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"balanced",50,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"balanced",50,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"unbalanced",1,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"unbalanced",1,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"unbalanced",10,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"unbalanced",10,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"unbalanced",50,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"unbalanced",50,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"balanced",1,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"balanced",1,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"balanced",10,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"balanced",10,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"balanced",50,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"balanced",50,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"unbalanced",1,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"unbalanced",1,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"unbalanced",10,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"unbalanced",10,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"unbalanced",50,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"unbalanced",50,"BPM",0.00416666666666667,0,2,4,5
200,8,0,10,0.5,"balanced",1,"SPM",0.00625,0,2,4,5
200,8,0,10,0.5,"balanced",1,"BPM",0.00625,0,2,4,5
200,8,0,10,0.5,"balanced",10,"SPM",0.00625,0,2,4,5
200,8,0,10,0.5,"balanced",10,"BPM",0.00625,0,2,4,5
200,8,0,10,0.5,"balanced",50,"SPM",0.00625,0,2,4,5
200,8,0,10,0.5,"balanced",50,"BPM",0.00625,0,2,4,5
200,8,0,10,0.5,"unbalanced",1,"SPM",0.00625,0,2,4,5
200,8,0,10,0.5,"unbalanced",1,"BPM",0.00625,0,2,4,5
200,8,0,10,0.5,"unbalanced",10,"SPM",0.00625,0,2,4,5
200,8,0,10,0.5,"unbalanced",10,"BPM",0.00625,0,2,4,5
200,8,0,10,0.5,"unbalanced",50,"SPM",0.00625,0,2,4,5
200,8,0,10,0.5,"unbalanced",50,"BPM",0.00625,0,2,4,5
200,8,0,10,0.2,"balanced",1,"SPM",0.00625,0,2,4,5
200,8,0,10,0.2,"balanced",1,"BPM",0.00625,0,2,4,5
200,8,0,10,0.2,"balanced",10,"SPM",0.00625,0,2,4,5
200,8,0,10,0.2,"balanced",10,"BPM",0.00625,0,2,4,5
200,8,0,10,0.2,"balanced",50,"SPM",0.00625,0,2,4,5
200,8,0,10,0.2,"balanced",50,"BPM",0.00625,0,2,4,5
200,8,0,10,0.2,"unbalanced",1,"SPM",0.00625,0,2,4,5
200,8,0,10,0.2,"unbalanced",1,"BPM",0.00625,0,2,4,5
200,8,0,10,0.2,"unbalanced",10,"SPM",0.00625,0,2,4,5
200,8,0,10,0.2,"unbalanced",10,"BPM",0.00625,0,2,4,5
200,8,0,10,0.2,"unbalanced",50,"SPM",0.00625,0,2,4,5
200,8,0,10,0.2,"unbalanced",50,"BPM",0.00625,0,2,4,5
800,1,155,11,0.5,"balanced",1,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"balanced",1,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"balanced",10,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"balanced",10,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"balanced",50,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"balanced",50,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"unbalanced",1,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"unbalanced",1,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"unbalanced",10,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"unbalanced",10,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"unbalanced",50,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"unbalanced",50,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"balanced",1,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"balanced",1,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"balanced",10,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"balanced",10,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"balanced",50,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"balanced",50,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"unbalanced",1,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"unbalanced",1,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"unbalanced",10,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"unbalanced",10,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"unbalanced",50,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"unbalanced",50,"BPM",0.000320512820512821,0,2,4,5
800,2,150,12,0.5,"balanced",1,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"balanced",1,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"balanced",10,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"balanced",10,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"balanced",50,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"balanced",50,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"unbalanced",1,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"unbalanced",1,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"unbalanced",10,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"unbalanced",10,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"unbalanced",50,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"unbalanced",50,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.2,"balanced",1,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.2,"balanced",1,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.2,"balanced",10,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.2,"balanced",10,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.2,"balanced",50,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.2,"balanced",50,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.2,"unbalanced",1,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.2,"unbalanced",1,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.2,"unbalanced",10,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.2,"unbalanced",10,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.2,"unbalanced",50,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.2,"unbalanced",50,"BPM",0.000328947368421053,0,2,4,5
800,3,145,13,0.5,"balanced",1,"SPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.5,"balanced",1,"BPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.5,"balanced",10,"SPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.5,"balanced",10,"BPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.5,"balanced",50,"SPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.5,"balanced",50,"BPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.5,"unbalanced",1,"SPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.5,"unbalanced",1,"BPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.5,"unbalanced",10,"SPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.5,"unbalanced",10,"BPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.5,"unbalanced",50,"SPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.5,"unbalanced",50,"BPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.2,"balanced",1,"SPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.2,"balanced",1,"BPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.2,"balanced",10,"SPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.2,"balanced",10,"BPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.2,"balanced",50,"SPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.2,"balanced",50,"BPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.2,"unbalanced",1,"SPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.2,"unbalanced",1,"BPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.2,"unbalanced",10,"SPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.2,"unbalanced",10,"BPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.2,"unbalanced",50,"SPM",0.000337837837837838,0,2,4,5
800,3,145,13,0.2,"unbalanced",50,"BPM",0.000337837837837838,0,2,4,5
800,4,140,14,0.5,"balanced",1,"SPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.5,"balanced",1,"BPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.5,"balanced",10,"SPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.5,"balanced",10,"BPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.5,"balanced",50,"SPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.5,"balanced",50,"BPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.5,"unbalanced",1,"SPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.5,"unbalanced",1,"BPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.5,"unbalanced",10,"SPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.5,"unbalanced",10,"BPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.5,"unbalanced",50,"SPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.5,"unbalanced",50,"BPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.2,"balanced",1,"SPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.2,"balanced",1,"BPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.2,"balanced",10,"SPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.2,"balanced",10,"BPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.2,"balanced",50,"SPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.2,"balanced",50,"BPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.2,"unbalanced",1,"SPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.2,"unbalanced",1,"BPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.2,"unbalanced",10,"SPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.2,"unbalanced",10,"BPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.2,"unbalanced",50,"SPM",0.000347222222222222,0,2,4,5
800,4,140,14,0.2,"unbalanced",50,"BPM",0.000347222222222222,0,2,4,5
800,5,135,15,0.5,"balanced",1,"SPM",0.000357142857142857,0,2,4,5
800,5,135,15,0.5,"balanced",1,"BPM",0.000357142857142857,0,2,4,5
800,5,135,15,0.5,"balanced",10,"SPM",0.000357142857142857,0,2,4,5
800,5,135,15,0.5,"balanced",10,"BPM",0.000357142857142857,0,2,4,5
