"d","k0","k1","seed","weight_shared","balanced","alpha_p","beta_p","model","b","nlabel"
800,29,4,41,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,30,3,42,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,30,3,42,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,30,3,42,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,30,3,42,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,30,3,42,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,30,3,42,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,31,2,43,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,31,2,43,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,31,2,43,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,31,2,43,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,31,2,43,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,31,2,43,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,32,1,44,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,32,1,44,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,32,1,44,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,32,1,44,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,32,1,44,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,32,1,44,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,33,0,45,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,33,0,45,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,33,0,45,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,33,0,45,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,33,0,45,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,33,0,45,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
